InvoiceNo,InvoiceDate,CustomerID,TotalAmount,PaymentMode
536574,12/1/10 15:46,17025,17.85,Debit Card
536575,12/1/10 16:01,13777,1552.98,Cash
536576,12/1/10 16:11,13777,2558.42,PayPal
536577,12/1/10 16:13,13777,497,Credit Card
536578,12/1/10 16:15,17690,279.6,Cash
536579,12/1/10 16:16,13777,315.96,Debit Card
536580,12/1/10 16:17,17690,97.2,Mobile Payments
536581,12/1/10 16:19,13777,330,Debit Card
536582,12/1/10 16:21,12947,304.04,Mobile Payments
536583,12/1/10 16:21,13777,198,PayPal
536584,12/1/10 16:22,13777,1132.8,Bank Transfer
536585,12/1/10 16:24,17460,19.9,Debit Card
536586,12/1/10 16:25,18229,344.2,Mobile Payments
536587,12/1/10 16:33,14142,311.81,PayPal
536588,12/1/10 16:49,17069,277.05,Debit Card
536590,12/1/10 16:52,13065,205.86,PayPal
536591,12/1/10 16:57,14606,198.32,Credit Card
536592,12/1/10 17:06,16518,6869.75,Debit Card
536593,12/1/10 17:15,16835,81.75,PayPal
536594,12/1/10 17:22,15235,79.5,Credit Card
536595,12/1/10 17:24,13576,349.15,PayPal
536596,12/1/10 17:29,16700,38.09,Debit Card
536597,12/1/10 17:35,18011,102.79,Credit Card
536598,12/2/10 7:48,13090,160.6,Credit Card
536599,12/2/10 7:49,15694,306.4,Debit Card
536600,12/2/10 8:32,17850,251.62,Debit Card
536601,12/2/10 8:33,17850,22.2,Debit Card
536602,12/2/10 8:34,17850,163.76,PayPal
536603,12/2/10 8:40,17850,22.2,PayPal
536604,12/2/10 8:43,14741,184.5,Debit Card
536605,12/2/10 8:52,13715,272.65,Mobile Payments
C536606,12/2/10 9:10,14092,-5.9,Debit Card
536607,12/2/10 9:29,17732,303.97,Debit Card
536608,12/2/10 9:37,12855,38.1,Mobile Payments
536609,12/2/10 9:41,17850,244.46,Cash
536610,12/2/10 9:42,17850,22.2,Bank Transfer
536611,12/2/10 9:43,15752,259.65,Credit Card
536612,12/2/10 9:44,17850,206.76,Mobile Payments
536613,12/2/10 9:44,17855,208.97,Bank Transfer
536614,12/2/10 9:44,17850,22.2,Gift Card
536615,12/2/10 10:09,14047,286.92,Credit Card
536616,12/2/10 10:10,17925,244.08,Check
536617,12/2/10 10:17,13941,1095.12,Credit Card
536618,12/2/10 10:17,17017,780.12,PayPal
536619,12/2/10 10:18,17017,97.2,Credit Card
536620,12/2/10 10:27,14135,485.25,Cash
536621,12/2/10 10:35,13108,350.06,Cash
C536622,12/2/10 10:37,12471,-17,Debit Card
536623,12/2/10 10:39,15601,768.38,Debit Card
536624,12/2/10 10:45,13418,610.64,Credit Card
536626,12/2/10 10:46,13418,12.6,PayPal
C536625,12/2/10 10:46,14766,-29.9,Debit Card
536627,12/2/10 10:53,15658,306.2,Bank Transfer
536628,12/2/10 10:54,17850,230.56,Check
536629,12/2/10 10:55,17850,22.2,Mobile Payments
536630,12/2/10 10:56,17850,244.46,Check
536631,12/2/10 10:58,17850,22.2,Credit Card
536632,12/2/10 11:02,14388,312.8,Debit Card
536633,12/2/10 11:20,14901,204.15,Bank Transfer
536634,12/2/10 11:21,18041,193.78,Credit Card
536635,12/2/10 11:22,15955,572.38,Debit Card
536636,12/2/10 11:23,15070,106.2,Credit Card
536637,12/2/10 11:35,18041,199.76,Credit Card
536638,12/2/10 11:41,16244,1056.63,Credit Card
536639,12/2/10 11:45,15111,288.5,Bank Transfer
536640,12/2/10 11:45,14935,45.85,Credit Card
536641,12/2/10 11:46,12748,4.25,Debit Card
C536642,12/2/10 11:56,14390,-5.95,Mobile Payments
536643,12/2/10 11:57,14390,217.85,Bank Transfer
536663,12/2/10 12:07,16546,299.4,Credit Card
536667,12/2/10 12:09,15260,362.5,Credit Card
536670,12/2/10 12:09,15260,58,PayPal
536671,12/2/10 12:10,13305,136.2,Debit Card
536672,12/2/10 12:10,14491,127.2,Credit Card
536673,12/2/10 12:11,14060,339.84,Mobile Payments
536674,12/2/10 12:16,15923,127.08,PayPal
536676,12/2/10 12:18,16752,207.5,Debit Card
536681,12/2/10 12:22,17287,113.92,Debit Card
536685,12/2/10 12:23,17850,380.46,Bank Transfer
536688,12/2/10 12:24,17850,22.2,Debit Card
536690,12/2/10 12:25,17850,331.26,Debit Card
536693,12/2/10 12:26,17850,22.2,Credit Card
536698,12/2/10 12:28,15363,326,Credit Card
536707,12/2/10 12:33,12915,199.65,Mobile Payments
536732,12/2/10 12:47,15544,354.54,Bank Transfer
536733,12/2/10 12:50,15738,329.65,Debit Card
C536734,12/2/10 12:50,16042,-24.95,Credit Card
536735,12/2/10 12:58,17381,211.2,Credit Card
536736,12/2/10 12:59,17381,824.88,Credit Card
C536737,12/2/10 13:05,15922,-5.9,Debit Card
536738,12/2/10 13:06,15827,98.18,Debit Card
536739,12/2/10 13:08,14180,201.75,PayPal
536740,12/2/10 13:08,15827,92.75,Debit Card
536741,12/2/10 13:11,13117,202.12,Credit Card
536742,12/2/10 13:14,16916,192.68,Credit Card
536743,12/2/10 13:32,17964,261.76,Credit Card
536744,12/2/10 13:36,14466,379.75,PayPal
536745,12/2/10 13:38,17235,341.9,Debit Card
536746,12/2/10 13:39,16510,248.1,Debit Card
536747,12/2/10 13:44,17802,100.2,Mobile Payments
536748,12/2/10 13:45,15107,116,Gift Card
536749,12/2/10 13:49,17976,313.29,Credit Card
536750,12/2/10 14:04,17850,434.8,PayPal
536751,12/2/10 14:05,17850,22.2,Credit Card
536752,12/2/10 14:06,17850,390.66,Credit Card
536753,12/2/10 14:07,17850,22.2,Bank Transfer
536754,12/2/10 14:09,14449,210.24,Debit Card
536755,12/2/10 14:14,13277,54.25,Debit Card
536756,12/2/10 14:23,17025,66.65,Debit Card
C536757,12/2/10 14:23,15838,-280.8,Cash
C536758,12/2/10 14:25,13767,-2.1,PayPal
536759,12/2/10 14:26,16781,311.25,Check
C536760,12/2/10 14:29,17547,-11.8,Credit Card
536761,12/2/10 14:30,13491,98.9,Bank Transfer
536762,12/2/10 14:40,16186,307.68,Credit Card
536763,12/2/10 14:42,17685,452.52,Mobile Payments
536769,12/2/10 14:47,17581,668.4,PayPal
536771,12/2/10 14:49,17581,118.38,Credit Card
536777,12/2/10 15:00,15732,138.1,Mobile Payments
536778,12/2/10 15:03,13138,193.23,Bank Transfer
536779,12/2/10 15:08,15823,15,Credit Card
536780,12/2/10 15:09,17977,12.8,Credit Card
536781,12/2/10 15:14,17460,50.4,Debit Card
536782,12/2/10 15:18,17567,517.95,Credit Card
536783,12/2/10 15:19,15061,4076.48,Credit Card
536784,12/2/10 15:20,15061,2170.9,Debit Card
536785,12/2/10 15:22,15061,2730.96,Debit Card
536786,12/2/10 15:23,15061,324,Debit Card
536787,12/2/10 15:24,17850,192.46,Credit Card
536788,12/2/10 15:25,15061,75,Debit Card
536789,12/2/10 15:25,17850,22.2,Check
536790,12/2/10 15:26,17850,532.01,Credit Card
536791,12/2/10 15:27,17850,44.4,Debit Card
536792,12/2/10 15:28,15061,30,Credit Card
536793,12/2/10 15:39,16203,170.7,Bank Transfer
536794,12/2/10 15:40,13767,322.8,Debit Card
536795,12/2/10 15:40,15640,333.72,Debit Card
536796,12/2/10 15:46,15574,312.37,Credit Card
536797,12/2/10 15:49,16770,130.8,Credit Card
536798,12/2/10 15:55,17838,684.46,Debit Card
536799,12/2/10 16:00,17228,183.3,Debit Card
536800,12/2/10 16:12,14829,236.97,Mobile Payments
536801,12/2/10 16:12,15108,252.3,Bank Transfer
536802,12/2/10 16:29,17412,197.3,Bank Transfer
536803,12/2/10 16:33,14911,22.5,Mobile Payments
536804,12/2/10 16:34,14031,1714.25,Credit Card
536805,12/2/10 16:38,14775,406.56,Debit Card
536806,12/2/10 16:42,12971,45.12,Debit Card
C536807,12/2/10 16:45,15834,-23.85,Mobile Payments
536808,12/2/10 16:46,17659,247.8,Credit Card
536809,12/2/10 16:48,15299,1003.2,Credit Card
536810,12/2/10 16:50,15299,303.96,Credit Card
536811,12/2/10 16:51,15299,527.85,Credit Card
C536812,12/2/10 16:58,16546,-883.08,Mobile Payments
536813,12/2/10 16:59,15646,189.8,PayPal
C536814,12/2/10 17:03,13958,-102.45,Bank Transfer
C536815,12/2/10 17:05,14443,-1.67,Credit Card
C536816,12/2/10 17:06,14443,-13.9,Debit Card
C536817,12/2/10 17:08,14156,-7.5,Credit Card
C536818,12/2/10 17:09,16995,-1.25,Debit Card
536819,12/2/10 17:12,13402,308.28,Mobile Payments
C536820,12/2/10 17:14,18168,-16.95,Check
536821,12/2/10 17:17,17757,143.45,Debit Card
C536822,12/2/10 17:19,14625,-37.65,Mobile Payments
536823,12/2/10 17:22,13011,50.55,Credit Card
536824,12/2/10 17:24,13798,408,Mobile Payments
C536825,12/2/10 17:27,15384,-6.65,Mobile Payments
C536826,12/2/10 17:30,17924,-9.3,Bank Transfer
C536827,12/2/10 17:31,13408,-20.85,PayPal
C536828,12/2/10 17:35,14264,-14.5,Check
C536829,12/2/10 17:36,13295,-3.25,Credit Card
536830,12/2/10 17:38,16754,2002.4,Cash
536831,12/2/10 17:40,16029,569.4,PayPal
536832,12/2/10 17:41,16634,164.8,Credit Card
536833,12/2/10 17:48,18239,438.1,Debit Card
536834,12/2/10 17:51,14576,35.4,Credit Card
536835,12/2/10 18:06,13145,295,Gift Card
536836,12/2/10 18:08,18168,260.8,Debit Card
536837,12/2/10 18:15,14395,308.68,Debit Card
536838,12/2/10 18:23,14865,37.2,PayPal
536839,12/2/10 18:25,15093,623.73,Debit Card
536840,12/2/10 18:27,12738,155.35,Credit Card
536841,12/2/10 18:27,16150,393.42,Cash
536842,12/2/10 18:45,17552,263.62,Credit Card
536843,12/2/10 18:46,17552,34.9,Debit Card
536844,12/2/10 18:49,14236,189.3,Credit Card
536845,12/2/10 19:18,17961,120.05,Credit Card
536846,12/2/10 19:59,14573,397.65,Check
536847,12/3/10 9:31,17135,215.58,Mobile Payments
536848,12/3/10 9:39,13408,534,Mobile Payments
536849,12/3/10 9:45,17396,397.5,Mobile Payments
C536850,12/3/10 9:47,14213,-1192.2,Bank Transfer
536851,12/3/10 9:49,12967,1368.4,Debit Card
536852,12/3/10 9:51,12686,89.14,Credit Card
C536853,12/3/10 10:07,14679,-2.55,Debit Card
C536854,12/3/10 10:09,15240,-5.45,Credit Card
C536855,12/3/10 10:11,18225,-31.8,Credit Card
536856,12/3/10 10:26,13370,754.87,Credit Card
536857,12/3/10 10:33,16883,128.03,Bank Transfer
536858,12/3/10 10:36,13520,303.4,Credit Card
536859,12/3/10 10:43,12841,294.25,Bank Transfer
536860,12/3/10 10:43,16905,254.4,Credit Card
536861,12/3/10 10:44,12427,303.5,Credit Card
536862,12/3/10 11:13,14209,1334.13,Credit Card
536863,12/3/10 11:19,17967,107.92,PayPal
536864,12/3/10 11:27,15872,636.68,Credit Card
536865,12/3/10 11:28,14488,2396.96,Debit Card
536866,12/3/10 11:28,18172,8.47,Debit Card
536874,12/3/10 11:35,16891,217.26,Check
536876,12/3/10 11:36,16071,7179.06,Bank Transfer
536883,12/3/10 11:41,16746,5.46,Credit Card
536884,12/3/10 11:42,14589,39.75,Credit Card
536885,12/3/10 11:42,12826,549,Credit Card
536890,12/3/10 11:48,14156,322.2,Debit Card
536920,12/3/10 12:01,16020,69.3,Credit Card
536938,12/3/10 12:05,14680,1680.88,Debit Card
536941,12/3/10 12:08,14793,0,PayPal
536942,12/3/10 12:08,16198,0,PayPal
536943,12/3/10 12:11,17884,187.51,Credit Card
536944,12/3/10 12:20,12557,620,Debit Card
536945,12/3/10 12:24,14083,294.01,Credit Card
536946,12/3/10 12:28,13013,841.94,Bank Transfer
536947,12/3/10 12:29,13013,686.4,Credit Card
536954,12/3/10 12:41,17809,425,PayPal
536956,12/3/10 12:43,14210,304.95,Bank Transfer
536957,12/3/10 12:43,17809,791.7,Bank Transfer
536960,12/3/10 12:48,16477,225.65,Credit Card
536967,12/3/10 12:57,12600,76.5,Debit Card
536968,12/3/10 13:09,16013,534,Debit Card
536969,12/3/10 13:10,16013,528,Credit Card
536970,12/3/10 13:12,17949,1314,Debit Card
536971,12/3/10 13:40,12779,248.16,Credit Card
536972,12/3/10 13:42,16926,230.25,Debit Card
536973,12/3/10 13:43,17787,709.28,Credit Card
536974,12/3/10 13:59,12682,336.24,Bank Transfer
536975,12/3/10 14:04,14911,1705.65,Credit Card
536976,12/3/10 14:18,14723,149.8,Debit Card
536977,12/3/10 14:18,17954,108.78,Debit Card
C536978,12/3/10 14:19,17954,-9.95,Debit Card
C536979,12/3/10 14:23,17841,-5.7,Mobile Payments
536980,12/3/10 14:26,17819,591.47,PayPal
536981,12/3/10 14:26,14723,93.49,Credit Card
536982,12/3/10 14:27,17917,10661.69,Debit Card
536983,12/3/10 14:30,12712,175.53,Debit Card
536984,12/3/10 14:35,17841,339.54,Debit Card
536985,12/3/10 14:40,15373,334.3,PayPal
536986,12/3/10 14:40,16140,124.14,Credit Card
536987,12/3/10 14:54,17198,267.06,Credit Card
536988,12/3/10 15:05,17238,254.39,Debit Card
536989,12/3/10 15:10,17238,115.7,Mobile Payments
536990,12/3/10 15:14,12793,131.8,Credit Card
536991,12/3/10 15:16,13650,26.4,Mobile Payments
536992,12/3/10 15:16,15769,91.8,Debit Card
536993,12/3/10 15:19,14396,110.35,Debit Card
536994,12/3/10 15:25,14898,98.5,Mobile Payments
537022,12/3/10 15:45,12725,427.8,Debit Card
537023,12/3/10 16:02,16725,122.15,Bank Transfer
537025,12/3/10 16:21,13016,76.83,Debit Card
C537024,12/3/10 16:21,13941,-75.6,Mobile Payments
537026,12/3/10 16:35,12395,346.1,PayPal
537030,12/3/10 16:44,16455,246.3,PayPal
537031,12/3/10 16:45,16455,135,Debit Card
537032,12/3/10 16:50,12827,0,Bank Transfer
537034,12/3/10 17:20,13081,2355.18,PayPal
537035,12/3/10 17:21,13081,11.6,Credit Card
537036,12/3/10 17:28,15545,135.33,Credit Card
537037,12/5/10 10:03,17243,256.9,Bank Transfer
537038,12/5/10 10:12,15465,535.75,Mobile Payments
C537039,12/5/10 10:25,15708,-8.32,Debit Card
537040,12/5/10 10:27,13089,734.4,Debit Card
537041,12/5/10 10:36,16033,155.64,Check
537042,12/5/10 10:45,13838,225.71,Debit Card
C537043,12/5/10 10:48,15351,-13.39,Mobile Payments
537044,12/5/10 10:52,18055,431.45,Debit Card
537045,12/5/10 10:54,15038,109.13,Cash
537046,12/5/10 10:58,18109,277.45,Mobile Payments
537047,12/5/10 11:02,13069,326.6,Cash
537048,12/5/10 11:03,13069,5.9,Credit Card
537049,12/5/10 11:04,16241,277.65,PayPal
537050,12/5/10 11:10,14800,555.84,Debit Card
537051,12/5/10 11:12,15708,290.96,Credit Card
537052,12/5/10 11:15,16839,552.24,Debit Card
537053,12/5/10 11:38,16168,275.8,Credit Card
537054,12/5/10 11:40,16931,149.1,Cash
537055,12/5/10 11:45,16814,273.29,Credit Card
537057,12/5/10 11:49,15351,263.87,Mobile Payments
537058,12/5/10 11:51,13269,351.43,Debit Card
537059,12/5/10 11:54,14813,85.23,Debit Card
537065,12/5/10 11:57,12567,1526.92,Credit Card
537067,12/5/10 11:57,14813,27.45,Credit Card
537077,12/5/10 11:59,17062,179.64,Debit Card
537081,12/5/10 12:00,15332,1145.06,Mobile Payments
537086,12/5/10 12:01,15332,438,Credit Card
537090,12/5/10 12:02,15332,15,Mobile Payments
537111,12/5/10 12:08,14810,177.89,Check
537117,12/5/10 12:09,16353,204,Debit Card
537126,12/5/10 12:13,18118,471.01,Debit Card
537127,12/5/10 12:13,13831,408,Credit Card
537128,12/5/10 12:15,12841,211.74,PayPal
537129,12/5/10 12:15,13506,301.12,Credit Card
537130,12/5/10 12:23,17796,114.65,Credit Card
537131,12/5/10 12:26,15716,519.25,Debit Card
537133,12/5/10 12:29,18156,186.88,Credit Card
C537132,12/5/10 12:29,15221,-289.15,Credit Card
537134,12/5/10 12:34,16983,163.49,Credit Card
537135,12/5/10 12:35,17059,719.44,Credit Card
537136,12/5/10 12:42,12748,267.46,Credit Card
537137,12/5/10 12:43,16327,535.6,Credit Card
537138,12/5/10 12:44,17211,273.3,Credit Card
537139,12/5/10 12:47,17026,33.15,PayPal
537140,12/5/10 12:53,12748,62.12,Mobile Payments
537141,12/5/10 12:57,15570,417.95,Gift Card
537142,12/5/10 12:57,12748,41.45,Debit Card
C537143,12/5/10 12:58,12748,-7.95,Credit Card
537144,12/5/10 13:00,15880,325.73,PayPal
537153,12/5/10 13:03,16718,582.14,Debit Card
537154,12/5/10 13:05,15808,945.55,Gift Card
537155,12/5/10 13:05,12748,73.72,Credit Card
537156,12/5/10 13:08,17858,236.25,Bank Transfer
C537157,12/5/10 13:09,15880,-30,Credit Card
537158,12/5/10 13:10,16393,184.8,Credit Card
537159,12/5/10 13:17,14527,292.95,PayPal
537160,12/5/10 13:18,14161,283.15,Credit Card
537163,12/5/10 13:21,17863,384.72,PayPal
C537164,12/5/10 13:21,14527,-29.29,Debit Card
537176,12/5/10 13:26,16411,123.6,Debit Card
537179,12/5/10 13:29,13767,806.28,Debit Card
537192,12/5/10 13:42,16402,202.7,Credit Card
537193,12/5/10 13:49,15023,416.25,Bank Transfer
537194,12/5/10 13:53,17402,271.2,Debit Card
537195,12/5/10 13:55,15311,635.64,Debit Card
537196,12/5/10 13:55,15426,363.17,Cash
537197,12/5/10 14:02,12647,286.5,Mobile Payments
537198,12/5/10 14:03,12647,85.5,Credit Card
537199,12/5/10 14:06,15894,129.54,Credit Card
537200,12/5/10 14:17,15867,111.65,Debit Card
537201,12/5/10 14:19,12472,1631.3,Cash
537202,12/5/10 14:25,14506,246.6,Gift Card
C537203,12/5/10 14:44,14606,-12.9,Mobile Payments
537204,12/5/10 14:45,15555,198.43,Mobile Payments
537205,12/5/10 14:52,13034,165.86,Credit Card
537206,12/5/10 15:02,15235,85.55,Gift Card
537207,12/5/10 15:06,17402,188.77,Credit Card
537208,12/5/10 15:12,15889,267.87,Credit Card
537209,12/5/10 15:12,14606,190.18,Mobile Payments
537210,12/5/10 15:15,15953,207.74,Credit Card
537211,12/5/10 15:18,16143,355.75,PayPal
537212,12/5/10 15:21,12720,473.39,Credit Card
537213,12/5/10 15:26,12748,8.65,Bank Transfer
537214,12/5/10 15:35,16422,1668.2,Mobile Payments
537215,12/5/10 15:38,12747,358.56,Credit Card
537216,12/5/10 15:40,15502,569.5,Debit Card
537217,12/5/10 15:40,15502,167.2,Debit Card
537218,12/5/10 15:46,12763,320.08,Bank Transfer
537219,12/5/10 15:47,14081,413.47,Credit Card
537220,12/5/10 15:49,12818,3.35,Credit Card
537221,12/5/10 15:54,17965,37.35,Debit Card
537222,12/5/10 16:00,14404,129.23,Debit Card
537223,12/5/10 16:10,13579,164.7,Cash
537224,12/5/10 16:24,13174,1218.04,Credit Card
537225,12/5/10 16:41,12748,484.28,Debit Card
537226,12/6/10 8:34,15987,113.48,Mobile Payments
537227,12/6/10 8:42,17677,922.4,PayPal
537228,12/6/10 8:43,17677,25.2,Check
537229,12/6/10 8:44,17677,17.4,Mobile Payments
537230,12/6/10 9:20,15670,2.95,Bank Transfer
537231,12/6/10 9:21,13652,308.8,PayPal
C537232,12/6/10 9:31,12586,-17,Mobile Payments
537233,12/6/10 9:37,17428,353,Gift Card
C537234,12/6/10 9:40,16161,-39,Debit Card
537235,12/6/10 9:45,17381,2567.64,Credit Card
537236,12/6/10 9:52,16858,345.69,Credit Card
537237,12/6/10 9:58,16639,7321.05,Credit Card
537238,12/6/10 10:03,16161,164.2,Debit Card
537239,12/6/10 10:05,18219,210.19,Credit Card
537240,12/6/10 10:08,12622,7660.48,PayPal
537241,12/6/10 10:18,14293,364.92,Debit Card
537242,12/6/10 10:19,14748,412.22,Mobile Payments
537243,12/6/10 10:19,16638,50.4,Mobile Payments
537244,12/6/10 10:20,17674,300.66,Debit Card
537245,12/6/10 10:24,14748,58.2,Credit Card
537246,12/6/10 10:27,12808,129.4,Debit Card
537247,12/6/10 10:34,13094,223.68,Mobile Payments
537248,12/6/10 10:36,15899,56.25,Debit Card
537249,12/6/10 10:38,16955,33,Debit Card
537250,12/6/10 10:43,12708,196.44,Credit Card
C537251,12/6/10 10:45,12645,-219.72,Debit Card
537252,12/6/10 10:46,17423,26.35,Debit Card
537253,12/6/10 10:53,18041,348.97,Credit Card
537254,12/6/10 11:01,15898,366.44,Debit Card
537255,12/6/10 11:03,14443,303.5,Debit Card
537256,12/6/10 11:06,16210,2263.8,Debit Card
537257,12/6/10 11:10,17691,142.5,Debit Card
537258,12/6/10 11:16,17227,142.25,Bank Transfer
537262,12/6/10 11:26,15039,585.41,Debit Card
537265,12/6/10 11:26,15919,209.83,Mobile Payments
537298,12/6/10 11:37,13497,153.5,Check
537301,12/6/10 11:38,15860,98.91,Credit Card
537312,12/6/10 11:42,14189,311.24,Credit Card
537313,12/6/10 11:42,15304,123.15,Debit Card
C537314,12/6/10 11:42,13497,-27,Credit Card
C537320,12/6/10 11:47,14867,-8.95,Debit Card
537332,12/6/10 11:58,14344,322.8,Bank Transfer
C537333,12/6/10 12:00,12474,-34,PayPal
537334,12/6/10 12:06,16719,430.73,PayPal
537335,12/6/10 12:15,15048,98.7,Bank Transfer
537346,12/6/10 12:21,15301,673.37,Credit Card
537350,12/6/10 12:23,14708,419.06,Debit Card
537351,12/6/10 12:23,16898,112.08,PayPal
537354,12/6/10 12:23,12748,133.07,Check
537359,12/6/10 12:30,14825,184.1,Debit Card
537360,12/6/10 12:31,18113,76.32,Credit Card
537362,12/6/10 12:34,17596,372.39,Credit Card
537365,12/6/10 12:38,15078,449.95,Bank Transfer
537366,12/6/10 12:39,14085,308.05,Credit Card
537367,12/6/10 12:39,15078,25.2,Debit Card
537368,12/6/10 12:40,14911,377.5,Debit Card
537369,12/6/10 12:41,17860,213.3,Mobile Payments
537370,12/6/10 12:44,13155,373.8,Credit Card
537371,12/6/10 12:47,15028,185.97,Debit Card
